1598, 7807468.35443038
1598, 4365071.42857143
1598, 4502800.0
1598, 5548142.85714286
1598, 6568095.23809524
2541, 9487312.5
2541, 5110500.0
2499, 7211733.33333333
2108, 14927504.7318612
1822, 6228800.0
1822, 7168216.98113208
1822, 4383714.28571429
1822, 4950777.77777778
1822, 5379107.14285714
1822, 4442529.41176471
1822, 6044733.33333333
1822, 8040947.91666667
2707, 6531787.87878788
2150, 6950712.32876712
2150, 5063571.42857143
2150, 14316441.6342412
2150, 10567747.2527473
2150, 9670233.91812865
2535, 10774718.3098592
2535, 12144920.4545455
2535, 7693857.14285714
2535, 12425689.9224806
2535, 11274067.4157303
2535, 12109541.3533835
2535, 6217653.84615385
2535, 7596768.51851852
2535, 11486488.0952381
2535, 12557309.5238095
2333, 13203995.13382
2333, 4943862.06896552
2333, 7432551.02040816
2333, 5540882.35294118
1844, 6188000.0
1844, 7506476.19047619
1844, 7946506.84931507
1844, 9534120.63492063
1844, 10228872.0
2273, 7067483.87096774
2273, 7359322.58064516
2273, 6567590.90909091
2029, 10501969.5340502
2029, 5871071.42857143
2029, 6657693.5483871
2029, 8845290.32258064
2494, 7347778.84615385
2494, 11057013.9751553
2494, 5600030.3030303
2494, 12209323.6434109
2494, 5749484.84848485
1713, 7346183.33333333
1713, 5747533.33333333
1713, 7470670.88607595
1713, 6003785.71428571
1713, 8230800.0
1713, 6893263.15789474
2337, 4430357.14285714
2337, 6011846.15384615
2337, 7099866.66666667
2337, 6591923.07692308
2187, 8165264.1509434
2187, 5437958.33333333
2187, 6369202.53164557
2187, 3789058.82352941
2017, 10913495.601173
2017, 5890928.57142857
2017, 5765309.52380952
2017, 16075862.0689655
2017, 6252285.71428571
2017, 5654395.83333333
2017, 6175690.47619048
2017, 15947680.2507837
2017, 6150642.85714286
2093, 5967214.28571429
2093, 6323642.85714286
2882, 4424285.71428571
2743, 11382486.7617108
2524, 6432571.42857143
2524, 7090142.85714286
2524, 5516352.94117647
2330, 4887562.5
2330, 5717722.22222222
2330, 10431420.2898551
2330, 5390666.66666667
2330, 7038462.96296296
2330, 8007712.12121212
2239, 6028500.0
2239, 7686847.82608696
2239, 5455888.88888889
2239, 6989500.0
2006, 5686642.85714286
2006, 8416401.51515152
2006, 6649523.80952381
2006, 4229428.57142857
2132, 4400291.66666667
2132, 8164085.80858086
2132, 12853684.7457627
2164, 5895294.11764706
2164, 5461037.03703704
2164, 4930500.0
2148, 4627909.09090909
2148, 8586507.93650794
2148, 5704357.14285714
2148, 4304411.76470588
2788, 13804423.4995773
2202, 13588652.1126761
2202, 5613894.73684211
2202, 7877540.98360656
2202, 5791285.71428571
3016, 14964145.2702703
2603, 13954417.9104478
2603, 9370402.17391304
2603, 6274916.66666667
1868, 9518878.78787879
1868, 6584357.14285714
1868, 10473573.3333333
1868, 7012294.11764706
1868, 6768435.29411765
1642, 7538576.92307692
1642, 6471610.16949153
1642, 5600760.0
1642, 6075357.14285714
1642, 5017388.88888889
1642, 7888661.53846154
2088, 4755588.23529412
2088, 7755853.42019544
2088, 7502929.61876833
2062, 9138125.0
2062, 7001533.33333333
2062, 7404705.88235294
2062, 7263942.85714286
2062, 7726702.7027027
2062, 6525454.54545455
2062, 6916432.43243243
2062, 5840533.33333333
2399, 20173857.837181
2399, 11530250.0
2399, 8598680.85106383
2399, 7668000.0
2052, 11181324.120603
2052, 5338030.3030303
2052, 6647050.0
2377, 23525439.7394137
2377, 9498659.84654731
2377, 10124435.4243542
2100, 6872090.90909091
2100, 7649820.0
2100, 7924330.0
2100, 7710060.0
2100, 7540270.0
2100, 8174220.0
2100, 7045268.8172043
2100, 4021142.85714286
1954, 5772850.0
1954, 5129882.35294118
1954, 6445631.57894737
1954, 7418000.0
1954, 5123050.0
1954, 7600075.75757576
1954, 5133650.0
2340, 6966250.0
2155, 6146882.35294118
2155, 4489176.47058824
2155, 6535211.5942029
2155, 8837019.18976546
2301, 5518000.0
2301, 11948203.9660057
2301, 6121560.0
2301, 8114346.45669291
2242, 6271948.27586207
2242, 5210444.44444444
2242, 6001647.05882353
2242, 6371263.15789474
2242, 9864277.77777778
2242, 7190406.25
2242, 5947705.88235294
2242, 5413210.52631579
2242, 10465904.7619048
2752, 6859642.85714286
2017, 7155531.64556962
2017, 5306357.14285714
2017, 9639770.83333333
2017, 9821302.1978022
2017, 9398321.28514056
2017, 10964832.1678322
2017, 7380000.0
2017, 10257510.4895105
2017, 6462571.42857143
2017, 6172052.63157895
2607, 6409047.61904762
2607, 10003766.8393782
2607, 10030099.009901
2607, 6537659.38864629
2213, 13084598.6328125
2177, 13361521.9399538
2177, 6166714.28571429
2177, 9600895.52238806
2177, 4176117.64705882
2323, 8212923.07692308
2323, 5927588.23529412
2323, 6341032.78688525
2323, 7570066.66666667
2323, 4859357.14285714
2032, 5718047.61904762
2032, 6239368.42105263
2032, 6703082.35294118
2032, 8544009.61538462
2032, 5800857.14285714
2032, 6521684.21052632
2032, 6472894.11764706
2032, 8653596.15384615
2032, 6658373.91304348
2510, 12675169.7674419
2510, 12639571.4285714
2510, 7320212.76595745
2510, 6050642.85714286
2510, 13308171.9197708
2510, 7447585.10638298
2510, 7192952.38095238
1903, 5282150.0
1903, 5551000.0
1903, 4092571.42857143
1903, 5191529.41176471
1903, 4787647.05882353
1903, 6830937.5
1903, 5093882.35294118
1903, 5098176.47058824
1994, 6901512.60504202
1994, 6074500.0
1994, 6864887.5
1994, 9166833.8762215
1994, 6734250.0
1994, 6833333.33333333
1994, 7932811.11111111
2280, 7608157.14285714
